,Generated Text,Actual Text
0,the popularity of prince Harry and his wife Meghan has tumbled in Britain over the past year.,"Popularity of Harry and Meghan plummets in UK after Oprah interview, poll says - Reuters"
1,"Meghan, duchess of Sussex, bullied royal staff.","Buckingham Palace hires external law firm to investigate bullying claims against Meghan, Duchess of Sussex"
2,"the duke and flint stakeholders have raised significantly since they took control of the united states legislature in 2001, spending more on their own royal family than on any other state.","More than a day after Meghan and Harry's explosive interview, the royal family hasn't responded and is said to be stuck in crisis talks"
3,the duchess Meghan interview was filmed at a friends house.,"Prince Harry, Duchess Meghan's shocking interview: Serena Williams, Meghan McCain, more react"
4,"the royal family are ""intoo big to fail.""","'Spoiled, ungrateful millionaires:' Meghan and Harry's Oprah interview divides Britons and Americans"
5,the duke of virginia has not raised taxes.,"Prince Harry has a new job dedicated to mental health, employee coaching"
6,a growing number of violent criminals are joining the ranks of the top 10 in the country.,Meghan and Prince Harry's explosive Oprah interview prompts widespread reaction
7,"the global warming has killed at least 10 people in the last decade, including british, chinese and russian governments.",Running brand Hoka One One sales exploded 58% to $352 million in 2020. Its president shares her playbook for maintaining that velocity in 2021.
8,"the shocking news is that for all the hard-core americans, a lot of it will be spent in the united states.",'Snotty' Harry...
9,the Sussexes were in a state of extreme poverty.,"The Sussexes have removed much of the magic – but the monarchy, and the Queen, will prevail"
10,'i have never been to texas before.',QUEEN: 'RECOLLECTIONS MAY VARY BUT WE TAKE THEM VERY SERIOUSLY'...
11,the royal family were not racist.,"‘We’re not racist’, Prince William says after Meghan and Harry interview"
12,an interview with prince williams father and current gubernatorial candidate george soros showed how much she misses and is untrustworthy.,"After the Harry and Meghan interview, how does the monarchy keep calm and carry on?"
